Order_ID,Date,Customer,Product,Category,Region,Salesperson,Quantity,Unit_Price,Discount_Percent,Revenue,Payment_Method
1028,2026-02-28,Customer_005,Laptop,Electronics,North,Rahul,2,55000,0,110000.0,UPI
1100,2026-03-03,Customer_047,Pen Set,Stationery,West,Sneha,4,120,0,480.0,Net Banking
1001,2026-03-04,Customer_015,Headphones,Electronics,South,Anjali,1,2500,5,2375.0,UPI
1097,2026-03-04,Customer_049,Headphones,Electronics,West,Vikram,5,2500,10,11250.0,Net Banking
1030,2026-03-04,Customer_031,Backpack,Accessories,West,Priya,10,1800,10,16200.0,UPI
1088,2026-03-05,Customer_013,Headphones,Electronics,North,Vikram,1,2500,0,2500.0,Credit Card
1014,2026-03-09,Customer_009,Desk,Furniture,South,Anjali,8,10000,0,80000.0,Net Banking
1077,2026-03-11,Customer_022,Headphones,Electronics,East,Vikram,5,2500,0,12500.0,UPI
1099,2026-03-13,Customer_039,Office Chair,Furniture,East,Vikram,5,7500,5,35625.0,UPI
1019,2026-03-17,Customer_028,Monitor,Electronics,South,Sneha,6,12000,0,72000.0,UPI
1081,2026-03-18,Customer_049,Notebook,Stationery,West,Sneha,1,150,5,142.5,Net Banking
1063,2026-03-22,Customer_043,Headphones,Electronics,North,Anjali,6,2500,15,12750.0,Debit Card
1064,2026-03-25,Customer_026,Pen Set,Stationery,East,Vikram,5,120,10,540.0,Credit Card
1079,2026-03-26,Customer_035,Headphones,Electronics,West,Sneha,7,2500,10,15750.0,UPI
1069,2026-03-27,Customer_006,Monitor,Electronics,South,Anjali,9,12000,15,91800.0,Debit Card
1093,2026-03-30,Customer_035,Headphones,Electronics,West,Anjali,10,2500,0,25000.0,Debit Card
1010,2026-04-01,Customer_014,Office Chair,Furniture,East,Anjali,3,7500,5,21375.0,UPI
1021,2026-04-06,Customer_049,Backpack,Accessories,South,Vikram,4,1800,0,7200.0,Net Banking
1036,2026-04-08,Customer_001,Desk,Furniture,West,Rahul,1,10000,0,10000.0,Cash
1056,2026-04-08,Customer_003,Monitor,Electronics,West,Priya,3,12000,0,36000.0,Credit Card
1078,2026-04-09,Customer_045,Keyboard,Electronics,South,Anjali,3,1200,0,3600.0,Credit Card
1002,2026-04-19,Customer_003,Pen Set,Stationery,North,Arun,2,120,15,204.0,Credit Card
1025,2026-04-19,Customer_014,Monitor,Electronics,South,Anjali,9,12000,15,91800.0,Debit Card
1031,2026-04-19,Customer_027,Headphones,Electronics,West,Anjali,7,2500,5,16625.0,UPI
1015,2026-04-20,Customer_038,Pen Set,Stationery,West,Rahul,5,120,15,510.0,Credit Card
1095,2026-04-22,Customer_012,Office Chair,Furniture,East,Vikram,8,7500,0,60000.0,Net Banking
1075,2026-04-25,Customer_011,Pen Set,Stationery,West,Sneha,7,120,15,714.0,Debit Card
1086,2026-04-27,Customer_021,Desk,Furniture,East,Sneha,6,10000,0,60000.0,Debit Card
1073,2026-04-29,Customer_004,Mouse,Electronics,South,Arun,3,800,15,2040.0,Cash
1087,2026-05-01,Customer_002,Desk,Furniture,North,Rahul,5,10000,0,50000.0,Credit Card
1039,2026-05-03,Customer_033,Laptop,Electronics,South,Arun,1,55000,15,46750.0,Net Banking
1082,2026-05-05,Customer_015,Pen Set,Stationery,East,Sneha,10,120,0,1200.0,Cash
1076,2026-05-05,Customer_041,Mouse,Electronics,South,Rahul,5,800,15,3400.0,Cash
1022,2026-05-06,Customer_002,Laptop,Electronics,North,Rahul,10,55000,5,522500.0,Debit Card
1098,2026-05-07,Customer_021,Desk,Furniture,South,Sneha,6,10000,0,60000.0,Credit Card
1020,2026-05-10,Customer_007,Monitor,Electronics,East,Anjali,9,12000,0,108000.0,Net Banking
1049,2026-05-10,Customer_032,Office Chair,Furniture,East,Arun,4,7500,5,28500.0,UPI
1084,2026-05-17,Customer_002,Notebook,Stationery,West,Vikram,3,150,15,382.5,Net Banking
1074,2026-05-24,Customer_039,Keyboard,Electronics,East,Sneha,8,1200,15,8160.0,Net Banking
1038,2026-05-29,Customer_048,Monitor,Electronics,North,Anjali,4,12000,0,48000.0,Debit Card
1004,2026-05-31,Customer_018,Desk,Furniture,North,Priya,4,10000,10,36000.0,Cash
1041,2026-06-02,Customer_003,Backpack,Accessories,North,Sneha,4,1800,15,6120.0,Net Banking
1040,2026-06-02,Customer_005,Headphones,Electronics,South,Sneha,3,2500,0,7500.0,UPI
1090,2026-06-05,Customer_048,Office Chair,Furniture,North,Priya,3,7500,15,19125.0,Debit Card
1044,2026-06-09,Customer_037,Headphones,Electronics,North,Arun,1,2500,10,2250.0,Net Banking
1067,2026-06-17,Customer_021,Desk,Furniture,West,Sneha,10,10000,15,85000.0,Cash
1037,2026-06-19,Customer_046,Monitor,Electronics,West,Priya,7,12000,15,71400.0,Credit Card
1083,2026-06-21,Customer_044,Laptop,Electronics,West,Anjali,7,55000,5,365750.0,Credit Card
1029,2026-06-21,Customer_032,Pen Set,Stationery,South,Vikram,4,120,5,456.0,Credit Card
1089,2026-06-21,Customer_008,Mouse,Electronics,South,Sneha,3,800,10,2160.0,Debit Card
1065,2026-06-23,Customer_048,Mouse,Electronics,South,Vikram,7,800,10,5040.0,Net Banking
1012,2026-06-25,Customer_021,Monitor,Electronics,North,Priya,9,12000,0,108000.0,UPI
1008,2026-06-30,Customer_005,Office Chair,Furniture,North,Anjali,10,7500,0,75000.0,Credit Card
1051,2026-06-30,Customer_028,Keyboard,Electronics,North,Arun,8,1200,15,8160.0,UPI
1032,2026-07-06,Customer_022,Headphones,Electronics,North,Priya,1,2500,10,2250.0,Credit Card
1011,2026-07-06,Customer_016,Backpack,Accessories,South,Sneha,3,1800,15,4590.0,Cash
1068,2026-07-23,Customer_048,Mouse,Electronics,South,Anjali,9,800,10,6480.0,UPI
1034,2026-07-26,Customer_036,Mouse,Electronics,North,Arun,2,800,10,1440.0,Net Banking
1057,2026-07-30,Customer_015,Notebook,Stationery,South,Arun,6,150,5,855.0,Credit Card
1096,2026-07-31,Customer_047,Notebook,Stationery,East,Rahul,8,150,10,1080.0,Credit Card
1046,2026-08-02,Customer_035,Monitor,Electronics,East,Vikram,3,12000,10,32400.0,Net Banking
1066,2026-08-02,Customer_001,Monitor,Electronics,East,Rahul,7,12000,15,71400.0,Credit Card
1052,2026-08-02,Customer_024,Keyboard,Electronics,South,Sneha,9,1200,0,10800.0,Credit Card
1006,2026-08-05,Customer_023,Desk,Furniture,East,Arun,2,10000,5,19000.0,Cash
1018,2026-08-09,Customer_001,Pen Set,Stationery,North,Anjali,5,120,15,510.0,Net Banking
1009,2026-08-10,Customer_007,Monitor,Electronics,West,Rahul,2,12000,0,24000.0,Cash
1058,2026-08-10,Customer_005,Desk,Furniture,East,Rahul,6,10000,5,57000.0,Net Banking
1023,2026-08-13,Customer_037,Mouse,Electronics,North,Arun,1,800,0,800.0,Cash
1071,2026-08-15,Customer_041,Headphones,Electronics,South,Anjali,8,2500,10,18000.0,Cash
1054,2026-08-15,Customer_027,Headphones,Electronics,South,Priya,6,2500,15,12750.0,Credit Card
1026,2026-08-19,Customer_034,Desk,Furniture,West,Arun,6,10000,10,54000.0,Credit Card
1053,2026-08-19,Customer_003,Laptop,Electronics,East,Priya,5,55000,5,261250.0,Credit Card
1080,2026-08-20,Customer_050,Mouse,Electronics,North,Vikram,7,800,10,5040.0,Cash
1062,2026-08-25,Customer_035,Desk,Furniture,South,Rahul,1,10000,15,8500.0,Cash
1091,2026-08-26,Customer_020,Headphones,Electronics,West,Sneha,10,2500,0,25000.0,Credit Card
1047,2026-08-27,Customer_043,Laptop,Electronics,North,Priya,9,55000,5,470250.0,Debit Card
1042,2026-08-28,Customer_017,Backpack,Accessories,South,Anjali,9,1800,5,15390.0,Debit Card
1059,2026-08-29,Customer_002,Desk,Furniture,North,Rahul,9,10000,5,85500.0,Credit Card
